task,send_time_s,latency_ms,device_exec_ms,queue_delay_ms,phase,pred,true
llm_ag_news,5.5455,520.085,519.276,0.252,2,Business,sci/tech
llm_ag_news,5.5643,501.345,500.483,0.454,2,World,world
llm_ag_news,5.5643,501.336,500.313,0.708,2,Business,business
llm_ag_news,5.5786,487.580,486.754,0.329,2,Business,sci/tech
llm_ag_news,5.5898,476.357,475.531,0.478,2,Business,business
llm_ag_news,5.5951,471.087,470.420,0.448,2,Sports,sports
llm_ag_news,5.6054,461.329,460.571,0.287,2,Sports,sports
llm_ag_news,5.6176,449.132,448.506,0.296,2,Sports,sports
llm_ag_news,5.6208,445.934,445.487,0.239,2,Business,business
llm_ag_news,5.6278,439.435,438.553,0.423,2,World,world
llm_ag_news,5.6330,434.217,433.597,0.310,2,Business,business
llm_ag_news,5.6342,433.015,432.559,0.240,2,Sports,sports
llm_ag_news,5.6384,430.414,428.483,0.418,2,Business,business
llm_ag_news,5.6536,416.024,413.531,0.324,2,Business,sci/tech
llm_ag_news,5.6721,397.538,392.239,3.180,2,Business,business
llm_ag_news,5.6783,391.277,388.902,0.289,2,World,world
llm_ag_news,5.6886,381.052,378.705,0.290,2,Sports,sports
llm_ag_news,5.6927,376.868,374.573,0.264,2,Business,world
llm_ag_news,5.7099,359.668,357.358,0.308,2,Sports,sports
llm_ag_news,5.7152,354.466,352.060,0.428,2,World,world
llm_ag_news,5.7308,338.829,336.374,0.504,2,Business,sci/tech
llm_ag_news,5.7380,331.587,329.346,0.324,2,Business,business
llm_ag_news,5.7483,321.372,319.195,0.286,2,Business,sci/tech
llm_ag_news,5.7875,282.163,279.621,0.677,2,Business,sci/tech
llm_ag_news,5.8181,251.527,248.702,0.982,2,Business,sci/tech
llm_ag_news,5.8514,218.237,215.729,0.683,2,Sports,sports
llm_ag_news,5.8514,218.219,215.447,0.967,2,Technology,sci/tech
llm_ag_news,5.8762,193.498,191.459,0.276,2,Business,business
llm_ag_news,5.8938,175.863,173.740,0.382,2,Sports,sports
llm_ag_news,5.8940,175.667,173.497,0.451,2,Business,world
llm_ag_news,5.9392,130.481,128.192,0.591,2,Sports,sports
llm_ag_news,5.9392,130.467,127.754,1.036,2,Business,sci/tech
llm_ag_news,5.9578,111.877,109.415,0.806,2,World,world
llm_ag_news,5.9578,111.858,109.127,1.100,2,Business,sci/tech
llm_ag_news,5.9922,77.443,75.369,0.466,2,Sports,business
llm_ag_news,5.9930,76.715,74.851,0.277,2,Sports,sports
llm_ag_news,6.0158,53.892,51.880,0.445,2,Sports,sports
llm_ag_news,6.0181,51.580,49.766,0.269,2,Sports,sports
llm_ag_news,5.2898,790.189,789.614,0.242,2,Science/Tech,sci/tech
llm_ag_news,5.3000,780.008,778.858,0.928,2,Science/Tech,sci/tech
llm_ag_news,5.8331,373.411,369.835,1.228,2,Science/Tech,sci/tech
llm_ag_news,6.0831,123.386,120.739,0.461,2,World,world
llm_ag_news,6.0913,115.148,112.687,0.309,2,World,world
llm_ag_news,6.1076,98.919,96.471,0.326,2,World,world
llm_ag_news,6.1218,84.711,82.255,0.363,2,Sports,sports
llm_ag_news,6.1320,74.514,72.101,0.349,2,Business,world
llm_ag_news,6.1522,54.320,51.934,0.351,2,Sports,sports
llm_ag_news,6.1624,44.097,41.794,0.302,2,Sports,sports
llm_ag_news,6.2017,36.493,35.428,0.678,2,Sports,world
llm_ag_news,6.2019,36.294,35.323,0.700,2,Sports,sports
llm_ag_news,6.2800,119.063,118.340,0.367,2,Sports,sports
llm_ag_news,6.2912,107.826,107.251,0.337,2,Business,world
llm_ag_news,6.2954,103.656,102.623,0.813,2,Sports,sports
llm_ag_news,6.3036,95.493,95.030,0.275,2,World,world
llm_ag_news,6.3208,78.318,77.780,0.383,2,Sports,sports
llm_ag_news,6.3350,64.201,62.689,1.276,2,World,world
llm_ag_news,6.3654,33.908,33.232,0.403,2,World,world
llm_ag_news,6.3977,283.775,281.573,1.784,2,World,world
llm_ag_news,6.4108,270.711,270.258,0.181,2,Sports,sports
llm_ag_news,6.4340,247.593,246.912,0.395,2,Business,business
llm_ag_news,6.4442,237.381,236.780,0.346,2,Sports,sports
llm_ag_news,6.4454,236.260,235.775,0.204,2,Sports,sports
llm_ag_news,6.4525,229.110,228.215,0.645,2,Sports,sports
llm_ag_news,6.4567,224.995,224.416,0.316,2,World,world
llm_ag_news,6.4849,196.815,196.194,0.386,2,Sports,sports
llm_ag_news,6.4881,193.595,193.097,0.255,2,World,world
llm_ag_news,6.5065,175.218,174.722,0.264,2,Business,world
llm_ag_news,6.5387,143.033,142.430,0.400,2,Business,world
llm_ag_news,6.5410,140.791,140.322,0.266,2,Business,business
llm_ag_news,6.5552,126.606,126.071,0.350,2,Sports,sports
llm_ag_news,6.5917,90.247,89.646,0.394,2,Sports,sports
llm_ag_news,6.5989,82.995,82.415,0.405,2,World,world
llm_ag_news,6.6061,75.808,75.377,0.272,2,Sports,sports
llm_ag_news,6.6163,65.623,64.848,0.633,2,Business,business
llm_ag_news,6.6187,63.250,62.902,0.229,2,Business,sci/tech
llm_ag_news,6.6209,61.110,60.804,0.202,2,World,world
llm_ag_news,6.6661,40.217,38.863,1.145,2,Business,world
llm_ag_news,6.7011,87.701,86.685,0.515,2,Business,business
llm_ag_news,6.7084,80.447,79.618,0.462,2,Business,business
llm_ag_news,6.7126,76.249,75.619,0.304,2,Business,business
llm_ag_news,6.7329,55.912,55.128,0.524,2,Sports,sports
llm_ag_news,6.7939,23.798,23.137,0.378,2,World,world
llm_ag_news,6.8248,189.359,188.616,0.330,2,Business,sci/tech
llm_ag_news,6.8320,182.128,181.512,0.304,2,Business,sci/tech
llm_ag_news,6.8422,171.937,171.415,0.251,2,Business,business
llm_ag_news,6.8676,146.628,146.075,0.260,2,World,world
llm_ag_news,6.8728,141.502,140.735,0.464,2,Business,world
llm_ag_news,6.8769,137.342,136.756,0.316,2,Business,sci/tech
llm_ag_news,6.8931,121.186,118.811,2.136,2,Sports,sports
llm_ag_news,6.9426,71.759,71.151,0.352,2,Business,sci/tech
llm_ag_news,6.9449,69.515,69.058,0.229,2,Sports,sports
llm_ag_news,6.9624,52.002,51.624,0.219,2,Business,business
llm_ag_news,6.9996,103.446,101.251,1.827,2,Sports,sports
llm_ag_news,6.9996,103.438,100.811,2.372,2,Sports,sports
llm_ag_news,7.0080,95.129,94.513,0.367,2,Business,sci/tech
llm_ag_news,7.0285,74.602,74.057,0.328,2,Business,business
llm_ag_news,7.0600,43.159,42.740,0.265,2,World,world
llm_ag_news,6.8574,563.992,563.003,0.393,2,Science/Tech,sci/tech
llm_ag_news,7.1042,317.228,316.377,0.386,2,World,world
llm_ag_news,7.1054,316.059,315.392,0.244,2,Business,sports
llm_ag_news,7.1105,310.913,310.183,0.339,2,Business,sci/tech
llm_ag_news,7.1217,299.862,298.894,0.497,2,Business,sci/tech
llm_ag_news,7.1259,295.779,294.907,0.350,2,Business,world
llm_ag_news,7.1320,289.629,288.913,0.229,2,World,world
llm_ag_news,7.1522,269.474,268.293,0.736,2,World,world
llm_ag_news,7.1522,269.470,267.949,1.112,2,Business,business
llm_ag_news,7.1774,244.224,243.453,0.395,2,Business,business
llm_ag_news,7.1776,244.142,243.231,0.455,2,Business,world
llm_ag_news,7.1918,229.977,229.213,0.338,2,Sports,sports
llm_ag_news,7.1930,228.850,228.158,0.225,2,Business,business
llm_ag_news,7.1972,224.675,224.005,0.234,2,Sports,sports
llm_ag_news,7.2054,216.490,215.827,0.258,2,Business,sci/tech
llm_ag_news,7.2366,185.279,184.521,0.383,2,Business,sci/tech
llm_ag_news,7.2951,126.873,125.813,0.638,2,World,world
llm_ag_news,7.3268,95.182,94.371,0.412,2,Sports,sports
llm_ag_news,7.3270,95.011,93.824,0.819,2,Sports,sports
llm_ag_news,7.3270,94.933,93.568,1.025,2,Sports,sports
llm_ag_news,7.3302,91.787,91.131,0.350,2,Business,sci/tech
llm_ag_news,7.3444,77.591,76.850,0.456,2,Sports,sports
llm_ag_news,7.1002,342.898,342.089,0.406,2,Science/Tech,sci/tech
llm_ag_news,7.2398,203.224,202.655,0.244,2,Science/Tech,sci/tech
llm_ag_news,7.4322,81.714,80.584,0.759,2,World,sci/tech
llm_ag_news,7.4374,76.487,75.878,0.359,2,Sports,sports
llm_ag_news,7.4588,55.274,54.405,0.468,2,World,world
llm_ag_news,7.4588,55.262,54.154,0.740,2,Sports,sports
llm_ag_news,7.4802,33.907,33.159,0.412,2,Business,sports
llm_ag_news,7.5094,37.027,36.223,0.548,2,Sports,sports
llm_ag_news,7.5412,37.437,36.281,0.525,2,World,sci/tech
llm_ag_news,7.5758,25.703,25.041,0.427,2,Business,business
llm_ag_news,7.5977,91.951,90.985,0.612,2,Business,business
llm_ag_news,7.5977,91.943,90.716,0.970,2,Business,sci/tech
llm_ag_news,7.6098,79.961,79.417,0.292,2,Sports,sports
llm_ag_news,7.6160,73.759,73.291,0.250,2,Sports,sports
llm_ag_news,7.6222,67.578,67.126,0.249,2,Business,world
llm_ag_news,7.6544,35.371,34.790,0.410,2,Business,business
llm_ag_news,7.6849,313.613,312.985,0.318,2,Sports,sports
llm_ag_news,7.7018,296.717,296.141,0.309,2,Business,business
llm_ag_news,7.7050,293.578,293.091,0.205,2,Business,business
llm_ag_news,7.7212,277.468,276.790,0.384,2,World,world
llm_ag_news,7.7254,273.290,272.777,0.250,2,Sports,sports
llm_ag_news,7.7466,252.124,251.482,0.409,2,Business,business
llm_ag_news,7.7488,249.956,249.446,0.258,2,World,world
llm_ag_news,7.7660,232.816,232.101,0.435,2,Sports,sports
llm_ag_news,7.7732,225.604,225.098,0.255,2,Sports,sports
llm_ag_news,7.7744,224.437,224.015,0.197,2,Business,business
llm_ag_news,7.7935,205.310,204.723,0.348,2,Business,sci/tech
llm_ag_news,7.7958,203.120,202.654,0.222,2,Business,business
llm_ag_news,7.8567,142.272,141.837,0.269,2,Sports,sports
llm_ag_news,7.8669,132.092,131.154,0.777,2,Business,business
llm_ag_news,7.8712,127.872,127.383,0.353,2,Sports,sports
llm_ag_news,7.8743,124.727,124.393,0.218,2,Business,world
llm_ag_news,7.8850,114.187,113.878,0.208,2,Business,business
llm_ag_news,7.9041,95.052,94.580,0.374,2,Business,sci/tech
llm_ag_news,7.9294,69.817,69.351,0.380,2,Sports,sports
llm_ag_news,7.9436,55.577,53.886,1.611,2,Sports,sports
llm_ag_news,7.9909,64.792,64.003,0.479,2,Business,sci/tech
llm_ag_news,8.0133,42.403,41.848,0.366,2,Business,business
llm_ag_news,8.0155,40.170,39.812,0.218,2,Business,business
llm_ag_news,8.0618,44.568,43.996,0.374,2,Business,sci/tech
llm_ag_news,8.1164,892.789,891.852,0.318,2,Business,sci/tech
llm_ag_news,8.1207,888.580,887.240,0.783,2,World,world
llm_ag_news,8.1279,881.380,880.588,0.274,2,Business,business
llm_ag_news,8.1443,865.055,864.466,0.260,2,Business,world
llm_ag_news,8.1455,866.836,863.407,0.221,2,Sports,sports
llm_ag_news,8.1827,829.648,826.091,0.399,2,Business,business
llm_ag_news,8.1890,823.372,819.874,0.375,2,Business,business
llm_ag_news,8.1932,819.175,815.665,0.415,2,World,sci/tech
llm_ag_news,8.1943,817.995,814.633,0.297,2,Business,business
llm_ag_news,8.1943,817.991,814.422,0.537,2,Business,sci/tech
llm_ag_news,8.2006,811.753,808.500,0.252,2,Business,sci/tech
llm_ag_news,8.2058,806.580,803.397,0.212,2,Business,sci/tech
llm_ag_news,8.2199,792.415,789.121,0.353,2,Business,sci/tech
llm_ag_news,8.2526,759.777,756.693,0.232,2,Business,sci/tech
llm_ag_news,8.2698,742.578,739.466,0.296,2,Business,sci/tech
llm_ag_news,8.2850,727.351,723.958,0.605,2,Business,sci/tech
llm_ag_news,8.2924,719.941,716.915,0.263,2,Business,sci/tech
llm_ag_news,8.3179,694.507,691.490,0.276,2,Business,sci/tech
llm_ag_news,8.3191,693.302,690.357,0.223,2,Business,sci/tech
llm_ag_news,8.3264,685.949,682.851,0.396,2,Business,sci/tech
llm_ag_news,8.3783,634.080,631.066,0.331,2,Business,sci/tech
llm_ag_news,8.3795,632.884,630.021,0.200,2,Business,sci/tech
llm_ag_news,8.3816,630.738,627.896,0.198,2,Business,sci/tech
llm_ag_news,8.4301,582.312,579.450,0.251,2,Business,sci/tech
llm_ag_news,8.4403,572.140,568.977,0.573,2,Business,sci/tech
llm_ag_news,8.4497,562.692,559.876,0.267,2,Business,sci/tech
llm_ag_news,8.4689,543.491,540.656,0.306,2,Sports,sports
llm_ag_news,8.4831,529.265,526.456,0.300,2,Sports,sports
llm_ag_news,8.5154,497.026,494.003,0.536,2,Sports,sports
llm_ag_news,8.5177,494.741,492.025,0.248,2,Sports,sports
llm_ag_news,8.5329,479.550,476.819,0.283,2,Sports,sports
llm_ag_news,8.5381,474.348,471.467,0.453,2,Sports,sports
llm_ag_news,8.5483,464.162,461.460,0.297,2,Business,world
llm_ag_news,8.6081,404.370,400.350,1.676,2,Business,world
llm_ag_news,8.6153,397.150,394.454,0.370,2,World,world
llm_ag_news,8.6328,379.650,377.096,0.267,2,Business,world
llm_ag_news,8.6430,369.462,366.922,0.271,2,World,world
llm_ag_news,8.6442,368.276,365.652,0.377,2,Business,world
llm_ag_news,8.6442,368.227,365.496,0.501,2,World,world
llm_ag_news,8.6674,345.015,342.386,0.419,2,World,world
llm_ag_news,8.6687,343.755,341.301,0.264,2,Sports,sports
llm_ag_news,8.6709,341.553,339.124,0.260,2,Business,business
llm_ag_news,8.6843,328.145,325.740,0.274,2,World,world
llm_ag_news,8.6895,322.936,320.557,0.266,2,Business,sci/tech
llm_ag_news,8.6997,312.734,310.355,0.290,2,Sports,sports
llm_ag_news,8.7069,305.525,303.010,0.447,2,Sports,sports
llm_ag_news,8.7071,305.395,302.542,0.803,2,World,world
llm_ag_news,8.7387,273.812,271.477,0.348,2,Business,sci/tech
llm_ag_news,8.7972,215.293,212.888,0.457,2,World,world
llm_ag_news,8.8075,204.994,202.773,0.294,2,Sports,sports
llm_ag_news,8.8127,199.778,197.423,0.448,2,World,world
llm_ag_news,8.8450,167.563,165.157,0.501,2,Sports,sports
llm_ag_news,8.8532,159.288,157.121,0.298,2,World,world
llm_ag_news,8.8674,145.072,142.863,0.369,2,Business,sci/tech
llm_ag_news,8.8967,115.833,113.571,0.453,2,Business,business
llm_ag_news,8.9030,109.542,107.372,0.389,2,Business,sci/tech
llm_ag_news,8.9302,82.305,80.066,0.493,2,Business,world
llm_ag_news,8.9466,65.951,63.874,0.358,2,World,world
llm_ag_news,8.9608,51.700,49.655,0.353,2,Business,business
llm_ag_news,8.0670,1266.952,1266.317,0.273,2,Science/Tech,sci/tech
llm_ag_news,8.9861,347.917,347.181,0.460,2,Business,business
llm_ag_news,8.9861,347.906,346.951,0.743,2,Sports,sports
llm_ag_news,8.9915,342.570,341.890,0.537,2,Sports,sports
llm_ag_news,8.9947,339.327,338.962,0.242,2,Sports,sports
llm_ag_news,8.9999,334.141,333.790,0.254,2,Business,sci/tech
llm_ag_news,9.0061,327.971,319.402,8.478,2,World,world
llm_ag_news,9.0090,325.152,319.179,5.893,2,Business,sci/tech
llm_ag_news,9.0179,316.253,315.789,0.373,2,World,world
llm_ag_news,9.0231,311.087,310.751,0.256,2,Sports,world
llm_ag_news,9.0313,302.934,302.602,0.248,2,Sports,sports
llm_ag_news,9.0415,292.765,292.425,0.266,2,Business,world
llm_ag_news,9.0437,290.605,290.298,0.232,2,Business,sci/tech
llm_ag_news,9.0579,276.447,276.102,0.274,2,Business,sci/tech
llm_ag_news,9.0966,237.908,237.462,0.283,2,Business,world
llm_ag_news,9.1150,219.527,219.120,0.274,2,Sports,sports
llm_ag_news,9.1342,200.310,199.889,0.310,2,Business,world
llm_ag_news,9.1342,200.322,199.757,0.463,2,Sports,sports
llm_ag_news,9.1424,192.180,191.808,0.217,2,World,world
llm_ag_news,9.1566,178.009,176.514,1.371,2,Sports,world
llm_ag_news,9.1608,173.842,173.517,0.221,2,Business,world
llm_ag_news,9.1879,146.716,146.222,0.378,2,Sports,sports
llm_ag_news,9.2052,129.486,129.075,0.324,2,Business,business
llm_ag_news,9.2084,126.291,125.964,0.237,2,Business,business
llm_ag_news,9.2166,118.129,114.532,3.512,2,World,world
llm_ag_news,9.2648,69.947,66.590,3.270,2,Business,world
llm_ag_news,9.2761,58.677,58.277,0.320,2,Business,business
llm_ag_news,9.2963,38.502,38.082,0.329,2,Business,world
llm_ag_news,8.1943,1153.345,1152.408,0.726,2,Science/Tech,sci/tech
llm_ag_news,8.3066,1041.163,1040.648,0.302,2,Science/Tech,sci/tech
llm_ag_news,8.3232,1024.550,1024.118,0.259,2,Science/Tech,sci/tech
llm_ag_news,8.3276,1020.248,1019.894,0.193,2,Science/Tech,sci/tech
llm_ag_news,8.3337,1014.102,1013.719,0.237,2,Science/Tech,sci/tech
llm_ag_news,8.3349,1012.928,1012.618,0.189,2,Science/Tech,sci/tech
llm_ag_news,8.3561,991.790,991.234,0.460,2,Science/Tech,sci/tech
llm_ag_news,8.4258,922.096,921.546,0.466,2,Science/Tech,sci/tech
llm_ag_news,9.0751,408.388,407.505,0.521,2,Science/Tech,sci/tech
llm_ag_news,9.1008,382.804,382.273,0.224,2,Science/Tech,sci/tech
llm_ag_news,9.3316,152.027,144.490,7.274,2,Sports,world
llm_ag_news,9.3399,143.693,143.013,0.454,2,Business,sci/tech
llm_ag_news,9.3411,142.543,141.927,0.383,2,World,world
llm_ag_news,9.3453,138.404,137.894,0.274,2,Business,business
llm_ag_news,9.3550,128.703,128.177,0.320,2,Business,sci/tech
llm_ag_news,9.3632,120.542,120.066,0.260,2,Business,business
llm_ag_news,9.3744,109.399,108.922,0.250,2,Sports,sports
llm_ag_news,9.3936,90.205,89.724,0.289,2,Sports,sports
llm_ag_news,9.4150,68.855,68.370,0.312,2,Sports,sports
llm_ag_news,9.4302,53.641,53.188,0.304,2,Business,business
llm_ag_news,9.4714,37.785,36.761,0.624,2,World,world
llm_ag_news,9.5233,25.531,24.713,0.465,2,Business,business
llm_ag_news,9.5426,30.241,28.598,0.462,2,Sports,sports
llm_ag_news,9.5698,143.371,142.277,0.413,2,Business,business
llm_ag_news,9.5769,136.230,135.304,0.386,2,Business,sci/tech
llm_ag_news,9.5791,134.033,133.173,0.361,2,Business,business
llm_ag_news,9.5907,122.439,121.526,0.449,2,Business,world
llm_ag_news,9.6273,85.857,85.117,0.354,2,Sports,sports
llm_ag_news,9.6296,83.896,83.040,0.252,2,Business,world
llm_ag_news,9.6367,76.728,75.801,0.355,2,Sports,sports
llm_ag_news,9.6529,60.528,59.388,0.600,2,World,world
llm_ag_news,9.6593,54.204,53.222,0.473,2,Business,sci/tech
llm_ag_news,9.6593,54.196,52.846,0.871,2,Business,business
llm_ag_news,9.7788,30.867,29.959,0.457,2,,sci/tech
llm_ag_news,9.7218,99.674,98.902,0.453,2,Business,sci/tech
llm_ag_news,9.7300,91.471,90.888,0.306,2,Business,sci/tech
llm_ag_news,9.7342,87.266,86.672,0.356,2,Business,sci/tech
llm_ag_news,9.7415,80.211,79.319,0.496,2,Sports,sports
llm_ag_news,9.7527,68.979,68.305,0.309,2,Technology,sci/tech
llm_ag_news,9.7891,32.609,31.982,0.291,2,Business,business
llm_ag_news,9.8093,137.671,136.178,0.854,2,Sports,sports
llm_ag_news,9.8200,126.903,123.877,2.513,2,Business,world
llm_ag_news,9.8408,106.167,101.498,4.201,2,Sports,sports
llm_ag_news,9.8528,94.172,93.428,0.314,2,Business,sci/tech
llm_ag_news,9.8651,81.893,81.077,0.424,2,World,world
llm_ag_news,9.8958,55.034,50.343,0.470,2,Business,sci/tech
llm_ag_news,9.7414,214.933,214.365,0.358,2,Science/Tech,sci/tech
llm_ag_news,9.9549,53.903,53.164,0.401,2,Sports,business
llm_ag_news,9.9625,46.965,45.769,0.461,2,Sports,sports
llm_ag_news,10.0115,114.048,113.236,0.359,2,Sports,sports
llm_ag_news,10.0138,111.982,111.095,0.425,2,Sports,sports
llm_ag_news,10.0260,99.799,98.096,1.221,2,World,world
llm_ag_news,10.0378,88.077,87.256,0.328,2,World,world
llm_ag_news,10.0490,76.978,76.122,0.283,2,World,world
llm_ag_news,10.0762,49.769,48.797,0.429,2,Sports,sports
llm_ag_news,10.0817,44.284,43.544,0.269,2,Business,world
llm_ag_news,10.1424,122.773,122.074,0.310,2,Sports,sports
llm_ag_news,10.1548,110.388,109.598,0.411,2,Sports,sports
llm_ag_news,10.1740,91.176,90.326,0.513,2,Sports,world
llm_ag_news,10.1882,76.941,76.303,0.338,2,Sports,sports
llm_ag_news,10.1985,66.694,64.854,1.565,2,Sports,sports
llm_ag_news,10.2076,57.633,56.951,0.446,2,World,world
llm_ag_news,10.2076,57.626,56.505,0.917,2,Sports,sports
llm_ag_news,10.2620,41.395,40.637,0.426,2,World,world
llm_ag_news,10.2773,26.076,25.491,0.357,2,Sports,sports
llm_ag_news,10.3175,23.198,22.547,0.361,2,World,world
llm_ag_news,10.3743,132.051,131.368,0.414,2,World,world
llm_ag_news,10.3964,110.031,109.513,0.242,2,World,world
llm_ag_news,10.4036,102.855,101.819,0.792,2,Sports,sports
llm_ag_news,10.4137,92.676,91.835,0.628,2,Business,business
llm_ag_news,10.4138,92.700,91.686,0.797,2,Sports,sports
llm_ag_news,10.4472,59.246,58.682,0.389,2,Sports,sports
llm_ag_news,10.4645,41.972,40.498,1.319,2,Sports,sports
llm_ag_news,10.5038,166.702,165.888,0.460,2,World,world
llm_ag_news,10.5389,131.745,131.021,0.470,2,Sports,sports
llm_ag_news,10.5389,131.732,130.823,0.695,2,World,world
llm_ag_news,10.5646,106.128,105.501,0.414,2,Business,world
